Site,Point,ReferenceMT,ReferenceMU,A_MT,A_MU,B_MT,B_MU,C_MT,C_MU,D_MT,D_MU,E_MT,E_MU,F_MT,F_MU,G_MT,G_MU,H_MT,H_MU,I_MT,I_MU,J_MT,J_MU,K_MT,K_MU
5,84,T2,C1,T2,C1,T4,C9,T2,C2,T2,C1,T2,C1,T2,C2,T2,C2,T2,C1,T2,C1,T2,C1,T2,C1
5,85,T4,C9,T4,C9,T4,C9,T4,C9,T4,C9,T4,C9,T4,C9,T4,C9,T4,C10,T4,C9,T2,C1,T4,C9
5,86,V2,C1,V2,C1,V2,C1,V2,C1,V2,C1,V2,C1,V2,C1,V2,C1,V2,C1,V2,C1,V2,C1,V2,C1
5,87,T4,C5,T4,C5,T4,C9,T4,C9,T4,C5,T4,C9,T4,C5,T4,C9,T4,C5,T4,C5,T4,C5,T4,C9
5,88,T2,C1,T2,C2,T2,C1,T2,C1,T2,C1,T2,C2,T2,C1,T2,C1,T2,C1,T2,C2,T2,C1,T2,C1
5,89,T4,C1,T4,C1,T4,C1,T4,C5,T4,C1,T4,C1,T4,C1,T4,C1,T4,C1,T4,C1,T4,C1,T4,C1
5,90,T4,C9,T4,C9,T4,C9,T4,C9,T4,C9,T4,C9,T4,C9,T4,C13,T4,C9,T4,C9,T4,C9,T4,C9
5,91,T4,C5,T4,C5,T4,C5,T4,C5,T4,C5,T4,C5,T4,C5,T4,C5,T4,C5,T4,C5,T4,C5,T4,C5
5,92,T32,C4,T32,C4,T32,C3,T32,C1,T32,C4,T32,C4,T32,C4,T32,C5,T32,C3,T32,C4,T32,C4,T32,C4
5,93,T4,C9,T4,C13,T4,C9,T4,C9,T4,C9,T4,C9,T4,C9,T4,C9,T4,C9,T4,C9,T4,C9,T4,C9
5,94,T1,C2,T1,C2,T1,C2,T1,C2,T1,C2,T1,C2,T1,C2,T1,C2,T1,C2,T1,C2,T1,C2,T1,C2
5,95,T2,C1,T2,C1,T2,C1,T2,C1,T2,C1,T2,C1,T2,C1,T2,C1,T2,C1,T2,C1,T2,C1,T2,C1
5,96,T4,C5,T4,C9,T4,C9,T4,C9,T4,C9,T4,C9,T4,C5,T4,C5,T4,C5,T4,C5,T4,C9,T4,C9
5,97,T4,C9,T4,C9,T4,C9,T4,C9,T4,C9,T4,C13,T4,C9,T4,C13,T4,C9,T4,C9,T4,C9,T4,C9
5,98,V2,C1,V2,C1,T4,C1,T4,C1,V2,C1,V2,C1,V2,C1,V2,C1,V2,C1,V2,C1,T4,C1,V2,C1
5,99,T35,C1,T32,C3,T32,C3,T37,C3,T39,C1,T32,C3,T35,C1,T35,C1,T37,C3,T35,C1,T35,C1,T35,C1
5,100,T2,C1,T2,C1,T2,C1,T4,C9,T2,C1,T2,C1,T2,C1,T2,C1,T2,C1,T4,C9,T2,C1,T2,C2
6,101,T35,C1,T39,C1,T35,C1,T4,C9,T39,C1,T35,C1,T4,C9,T39,,T39,C1,T39,C1,T39,C1,T39,C1
6,102,T4,C9,T4,C9,T4,C9,T39,C1,T35,C1,T4,C9,T4,C9,T4,C13,T4,C9,T35,C1,T4,C9,T4,C9
6,103,T2,C1,T2,C2,T2,C1,T2,C1,T2,C1,T2,C1,T4,C9,T2,C1,T2,C1,T4,C9,T4,C9,T2,C2
6,104,T4,C9,T4,C9,T4,C9,T4,C9,T4,C9,T4,C9,T4,C9,T4,C9,T4,C9,T4,C9,T4,C9,T4,C9
6,105,T1,C2,T1,C2,T1,C2,T1,C2,T1,C2,T1,C2,T2,C1,T4,C13,T1,C2,T1,C2,T1,C2,T1,C2
6,106,T2,C1,T2,C1,T4,C9,T4,C9,T4,C9,T4,C9,T4,C13,T2,C1,T2,C1,T4,C9,T4,C9,T4,C9
6,107,T4,C5,T4,C5,T4,C5,T4,C5,T39,C1,T4,C5,T4,C9,T39,C1,T39,C1,T4,C5,T4,C5,T4,C5
6,108,T4,C5,T4,C5,T4,C9,T4,C5,T4,C9,T4,C5,T4,C5,T4,C5,T4,C5,T4,C5,T4,C5,T4,C9
6,109,V2,C1,T4,C5,T4,C9,T4,C9,T4,C9,T4,C9,T4,C9,V2,C1,T4,C5,T4,C9,T4,C5,T4,C9
6,110,T2,C1,T2,C1,T4,C9,T2,C2,T2,C1,T2,C2,T2,C2,T2,C1,T2,C1,T2,C1,T2,C1,T2,C2
6,111,T2,C1,T4,C9,T2,C1,T2,C1,T2,C1,T4,C9,T2,C2,T2,C2,T2,C1,T2,C1,T2,C1,T2,C2
6,112,T4,C9,T2,C1,T4,C9,T2,C1,T4,C9,T4,C9,T4,C9,T2,C1,T4,C9,T4,C9,T4,C9,T2,C1
6,113,T4,C9,T4,C13,T4,C9,T4,C9,T4,C9,T4,C5,T4,C13,T4,C5,T4,C5,T4,C9,T4,C9,T4,C9
6,114,V2,C1,T4,C1,V2,C1,V2,C1,V2,C1,V2,C1,V2,C1,V2,C1,V2,C1,V2,C1,V2,C1,V2,C1
6,115,T1,C2,T1,C2,T1,C2,T1,C2,T1,C2,T1,C2,T1,C2,T1,C2,T1,C2,T1,C2,T1,C2,T1,C2
6,116,T4,C9,T4,C5,T4,C9,T4,C5,T4,C9,T4,C9,T4,C9,T4,C5,T4,C9,T4,C9,T4,C5,T4,C5
6,117,T4,C9,T4,C5,T4,C9,T4,C9,T4,C9,T4,C9,T4,C5,T4,C9,T4,C5,T4,C9,T4,C5,T4,C9
6,118,T4,C5,T4,C5,T4,C5,T4,C9,T4,C5,T4,C5,T2,C1,T2,C1,T4,C5,T4,C5,T4,C5,T4,C9
6,119,T1,C2,T1,C2,T1,C2,T1,C2,T1,C2,T1,C2,T1,C2,T1,C2,T1,C2,T1,C2,T1,C2,T1,C2
6,120,T2,C1,T4,C5,T2,C1,T4,C9,T4,C9,T2,C1,T2,C1,T2,C1,T4,C9,T2,C1,T2,C1,T2,C1
